@relation 'RAPID_2_curated_dataset_SIMPLESOLVENT - Sheet1'

@attribute _out_crystalscore numeric
@attribute 'Perovskite crystal?' {NO,YES}
@attribute amine {'1,3-dap',acet,aep,chma,dabz,dedap,dmed,ea,ma,phenea}
@attribute solvent {DMSO,DMF,DMF:DMSO,GBL:DMF,GBL}
@attribute _feat_organic_0_accsitecount_std numeric
@attribute _feat_organic_0_aliphaticatomcount_std numeric
@attribute _feat_organic_0_aliphaticringcount_std numeric
@attribute _feat_organic_0_aromaticatomcount_std numeric
@attribute _feat_organic_0_aromaticringcount_std numeric
@attribute _feat_organic_0_asa+_std numeric
@attribute _feat_organic_0_asa-_std numeric
@attribute _feat_organic_0_asa_std numeric
@attribute _feat_organic_0_asah_std numeric
@attribute _feat_organic_0_asap_std numeric
@attribute _feat_organic_0_asavdwp_std numeric
@attribute _feat_organic_0_atomcount_c_std numeric
@attribute _feat_organic_0_atomcount_n_std numeric
@attribute _feat_organic_0_avgpol_std numeric
@attribute _feat_organic_0_balabanindex_std numeric
@attribute _feat_organic_0_bondcount_std numeric
@attribute _feat_organic_0_carboaliphaticringcount_std numeric
@attribute _feat_organic_0_carboaromaticringcount_std numeric
@attribute _feat_organic_0_carboringcount_std numeric
@attribute _feat_organic_0_chainatomcount_std numeric
@attribute _feat_organic_0_cyclomaticnumber_std numeric
@attribute _feat_organic_0_donsitecount_std numeric
@attribute _feat_organic_0_fr_amidine numeric
@attribute _feat_organic_0_fr_halogen numeric
@attribute _feat_organic_0_fr_nh1 numeric
@attribute _feat_organic_0_fr_nh2 numeric
@attribute _feat_organic_0_fr_piperzine numeric
@attribute _feat_organic_0_fr_quatn numeric
@attribute _feat_organic_0_hacceptorcount_std numeric
@attribute _feat_organic_0_hdonorcount_std numeric
@attribute _feat_organic_0_heteroaliphaticringcount_std numeric
@attribute _feat_organic_0_hyperwienerindex_std numeric
@attribute _feat_organic_0_largestringsize_std numeric
@attribute _feat_organic_0_maximalprojectionarea_std numeric
@attribute _feat_organic_0_maximalprojectionradius_std numeric
@attribute _feat_organic_0_maximalprojectionsize_std numeric
@attribute _feat_organic_0_minimalprojectionarea_std numeric
@attribute _feat_organic_0_minimalprojectionradius_std numeric
@attribute _feat_organic_0_minimalprojectionsize_std numeric
@attribute _feat_organic_0_molpol_std numeric
@attribute _feat_organic_0_organoammoniummolecularweight_std numeric
@attribute _feat_organic_0_protpsa_std numeric
@attribute _feat_organic_0_refractivity_std numeric
@attribute _feat_organic_0_ringatomcount_std numeric
@attribute _feat_organic_0_rotatablebondcount_std numeric
@attribute _feat_organic_0_saltmolecularweight numeric
@attribute _feat_organic_0_smallestringsize_std numeric
@attribute _feat_organic_0_vanderwaalsvolume_std numeric
@attribute _feat_organic_0_wienerindex_std numeric
@attribute _feat_organic_0_wienerpolarity_std numeric
@attribute DMF_present numeric
@attribute DMSO_present numeric
@attribute GBL_present numeric
@attribute Expected_Diffusion_Coefficient numeric
@attribute Best_Kin_Expected_Diffusion_Coeff_Mols/sec numeric
@attribute Best_Kout_Expected_Diffusion_Coeff_Mols/sec numeric
@attribute Best_Fit_SSE_Expected_Diffusion_Coeff numeric
@attribute Crystallization_Time_Seconds numeric
@attribute Crystallization_Height_cm numeric
@attribute Expected_DCM_Concentration_Mols/L numeric
@attribute Expected_Solvent_Concentration_Mols/L numeric
@attribute Expected_FAH_Concentration_Mols/L numeric
@attribute Expected_Inorganic_Concentration_Mols/L numeric
@attribute Expected_Organic_Concentration_Mols/L numeric

@data
1,NO,'1,3-dap',DMSO,0,5,0,0,0,197.61,43.22,240.84,142.53,98.31,162.05,3,2,9.74,2.19,16,0,0,0,5,0,6,0,2,0,0,0,2,0,2,0,35,0,33.72,4.51,5.16,19.68,2.89,8.91,9.18,76.142,55.28,45.32,0,2,329.952,0,90.86,20,2,0,1,0,0.000012,0,0,0.003835,1.197832,1.176152,8.180125,5.114498,1.265031,0.219076,0.317875
1,NO,'1,3-dap',DMF,0,5,0,0,0,197.61,43.22,240.84,142.53,98.31,162.05,3,2,9.74,2.19,16,0,0,0,5,0,6,0,2,0,0,0,2,0,2,0,35,0,33.72,4.51,5.16,19.68,2.89,8.91,9.18,76.142,55.28,45.32,0,2,329.952,0,90.86,20,2,1,0,0,0.000006,0,0.000001,0.00123,1.324786,1.316239,10.853829,3.008065,0.812203,0.140656,0.212363
1,NO,'1,3-dap',DMF:DMSO,0,5,0,0,0,197.61,43.22,240.84,142.53,98.31,162.05,3,2,9.74,2.19,16,0,0,0,5,0,6,0,2,0,0,0,2,0,2,0,35,0,33.72,4.51,5.16,19.68,2.89,8.91,9.18,76.142,55.28,45.32,0,2,329.952,0,90.86,20,2,1,1,0,0.000002,0,0.000001,0.003049,1.169892,1.165591,12.149185,2.28627,0.592817,0.104676,0.157014
4,NO,'1,3-dap',GBL:DMF,0,5,0,0,0,197.61,43.22,240.84,142.53,98.31,162.05,3,2,9.74,2.19,16,0,0,0,5,0,6,0,2,0,0,0,2,0,2,0,35,0,33.72,4.51,5.16,19.68,2.89,8.91,9.18,76.142,55.28,45.32,0,2,329.952,0,90.86,20,2,1,0,1,0.000001,0,0,0.000695,16740,0.734821,10.252325,3.384686,0.914076,0.158298,0.242103
1,NO,acet,DMSO,1,4,0,0,0,172.93,39.44,212.36,139.66,72.7,110.9,2,2,6.58,2.32,10,0,0,0,4,0,4,1,1,0,2,0,0,1,2,0,12,0,26.37,3.23,4.26,17.01,3.14,6.02,6.57,59.091,51.61,27.86,0,0,185.996,0,62.84,9,0,0,1,0,0.000012,0,0,0.002451,1.299107,1.285714,9.168136,4.701741,1.097698,0.18637,0.290738
1,NO,acet,DMF,1,4,0,0,0,172.93,39.44,212.36,139.66,72.7,110.9,2,2,6.58,2.32,10,0,0,0,4,0,4,1,1,0,2,0,0,1,2,0,12,0,26.37,3.23,4.26,17.01,3.14,6.02,6.57,59.091,51.61,27.86,0,0,185.996,0,62.84,9,0,1,0,0,0.000006,0,0.000001,0.000995,1.331731,1.302885,11.139846,3.014274,0.763763,0.134861,0.197104
1,NO,acet,DMF:DMSO,1,4,0,0,0,172.93,39.44,212.36,139.66,72.7,110.9,2,2,6.58,2.32,10,0,0,0,4,0,4,1,1,0,2,0,0,1,2,0,12,0,26.37,3.23,4.26,17.01,3.14,6.02,6.57,59.091,51.61,27.86,0,0,185.996,0,62.84,9,0,1,1,0,0.000002,0,0,0.002714,1.299233,1.283887,12.976811,1.876948,0.452648,0.073778,0.112204
4,YES,acet,GBL,1,4,0,0,0,172.93,39.44,212.36,139.66,72.7,110.9,2,2,6.58,2.32,10,0,0,0,4,0,4,1,1,0,2,0,0,1,2,0,12,0,26.37,3.23,4.26,17.01,3.14,6.02,6.57,59.091,51.61,27.86,0,0,185.996,0,62.84,9,0,0,0,1,0.000005,0,0,0.00405,1980,0.596767,8.147848,5.042906,1.270498,0.215709,0.323563
4,YES,acet,GBL:DMF,1,4,0,0,0,172.93,39.44,212.36,139.66,72.7,110.9,2,2,6.58,2.32,10,0,0,0,4,0,4,1,1,0,2,0,0,1,2,0,12,0,26.37,3.23,4.26,17.01,3.14,6.02,6.57,59.091,51.61,27.86,0,0,185.996,0,62.84,9,0,1,0,1,0.000001,0,0,0.001193,11700,0.600995,7.857412,5.206428,1.319687,0.228541,0.354015
1,NO,aep,DMSO,0,8,1,0,0,258.43,22.98,281.41,226.65,54.76,235.46,6,2,14.6,2.06,24,0,0,0,3,1,4,0,2,1,0,0,2,0,2,1,135,5,44.29,5.03,6.39,25.85,3.23,10.25,13.98,116.207,32.08,57.79,5,2,370.017,5,131.49,67,5,0,1,0,0.000012,0,0,0.001802,1.336207,1.331897,9.375446,4.250841,1.062587,0.194842,0.248965
