_out_crystalscore,Perovskite crystal?,amine,solvent,_feat_organic_0_accsitecount_std,_feat_organic_0_aliphaticatomcount_std,_feat_organic_0_aliphaticringcount_std,_feat_organic_0_aromaticatomcount_std,_feat_organic_0_aromaticringcount_std,_feat_organic_0_asa+_std,_feat_organic_0_asa-_std,_feat_organic_0_asa_std,_feat_organic_0_asah_std,_feat_organic_0_asap_std,_feat_organic_0_asavdwp_std,_feat_organic_0_atomcount_c_std,_feat_organic_0_atomcount_n_std,_feat_organic_0_avgpol_std,_feat_organic_0_balabanindex_std,_feat_organic_0_bondcount_std,_feat_organic_0_carboaliphaticringcount_std,_feat_organic_0_carboaromaticringcount_std,_feat_organic_0_carboringcount_std,_feat_organic_0_chainatomcount_std,_feat_organic_0_cyclomaticnumber_std,_feat_organic_0_donsitecount_std,_feat_organic_0_fr_amidine,_feat_organic_0_fr_halogen,_feat_organic_0_fr_nh1,_feat_organic_0_fr_nh2,_feat_organic_0_fr_piperzine,_feat_organic_0_fr_quatn,_feat_organic_0_hacceptorcount_std,_feat_organic_0_hdonorcount_std,_feat_organic_0_heteroaliphaticringcount_std,_feat_organic_0_hyperwienerindex_std,_feat_organic_0_largestringsize_std,_feat_organic_0_maximalprojectionarea_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_maximalprojectionsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_minimalprojectionsize_std,_feat_organic_0_molpol_std,_feat_organic_0_organoammoniummolecularweight_std,_feat_organic_0_protpsa_std,_feat_organic_0_refractivity_std,_feat_organic_0_ringatomcount_std,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_saltmolecularweight,_feat_organic_0_smallestringsize_std,_feat_organic_0_vanderwaalsvolume_std,_feat_organic_0_wienerindex_std,_feat_organic_0_wienerpolarity_std,DMF_present,DMSO_present,GBL_present,Expected_Diffusion_Coefficient,Best_Kin_Expected_Diffusion_Coeff_Mols/sec,Best_Kout_Expected_Diffusion_Coeff_Mols/sec,Best_Fit_SSE_Expected_Diffusion_Coeff,Crystallization_Time_Seconds,Crystallization_Height_cm,Expected_DCM_Concentration_Mols/L,Expected_Solvent_Concentration_Mols/L,Expected_FAH_Concentration_Mols/L,Expected_Inorganic_Concentration_Mols/L,Expected_Organic_Concentration_Mols/L
1,NO,"1,3-dap",DMSO,0,5,0,0,0,197.61,43.22,240.84,142.53,98.31,162.05,3,2,9.74,2.19,16,0,0,0,5,0,6,0,2,0,0,0,2,0,2,0,35,0,33.72,4.51,5.16,19.68,2.89,8.91,9.18,76.142,55.28,45.32,0,2,329.952,0,90.86,20,2,0,1,0,1.24E-05,2.47E-07,4.40E-07,0.003834729,1.197831978,1.176151762,8.180124526,5.114497579,1.26503118,0.21907613,0.317875169
1,NO,"1,3-dap",DMF,0,5,0,0,0,197.61,43.22,240.84,142.53,98.31,162.05,3,2,9.74,2.19,16,0,0,0,5,0,6,0,2,0,0,0,2,0,2,0,35,0,33.72,4.51,5.16,19.68,2.89,8.91,9.18,76.142,55.28,45.32,0,2,329.952,0,90.86,20,2,1,0,0,5.55E-06,4.01E-07,5.16E-07,0.001230377,1.324786325,1.316239316,10.85382866,3.008065278,0.812203401,0.14065612,0.212363162
1,NO,"1,3-dap",DMF:DMSO,0,5,0,0,0,197.61,43.22,240.84,142.53,98.31,162.05,3,2,9.74,2.19,16,0,0,0,5,0,6,0,2,0,0,0,2,0,2,0,35,0,33.72,4.51,5.16,19.68,2.89,8.91,9.18,76.142,55.28,45.32,0,2,329.952,0,90.86,20,2,1,1,0,2.07E-06,4.40E-07,5.31E-07,0.003049471,1.169892473,1.165591398,12.14918464,2.286269752,0.592817432,0.104676204,0.157014305
4,NO,"1,3-dap",GBL:DMF,0,5,0,0,0,197.61,43.22,240.84,142.53,98.31,162.05,3,2,9.74,2.19,16,0,0,0,5,0,6,0,2,0,0,0,2,0,2,0,35,0,33.72,4.51,5.16,19.68,2.89,8.91,9.18,76.142,55.28,45.32,0,2,329.952,0,90.86,20,2,1,0,1,1.08E-06,2.50E-07,2.07E-07,0.000694661,16740,0.734821429,10.25232549,3.384686106,0.914076058,0.158298268,0.242103234
1,NO,acet,DMSO,1,4,0,0,0,172.93,39.44,212.36,139.66,72.7,110.9,2,2,6.58,2.32,10,0,0,0,4,0,4,1,1,0,2,0,0,1,2,0,12,0,26.37,3.23,4.26,17.01,3.14,6.02,6.57,59.091,51.61,27.86,0,0,185.996,0,62.84,9,0,0,1,0,1.24E-05,2.36E-07,3.69E-07,0.002451278,1.299107143,1.285714286,9.168136345,4.701741444,1.097698081,0.186370239,0.290737573
1,NO,acet,DMF,1,4,0,0,0,172.93,39.44,212.36,139.66,72.7,110.9,2,2,6.58,2.32,10,0,0,0,4,0,4,1,1,0,2,0,0,1,2,0,12,0,26.37,3.23,4.26,17.01,3.14,6.02,6.57,59.091,51.61,27.86,0,0,185.996,0,62.84,9,0,1,0,0,5.55E-06,4.53E-07,5.75E-07,0.000995382,1.331730769,1.302884615,11.1398456,3.01427441,0.763762582,0.134860689,0.197104084
1,NO,acet,DMF:DMSO,1,4,0,0,0,172.93,39.44,212.36,139.66,72.7,110.9,2,2,6.58,2.32,10,0,0,0,4,0,4,1,1,0,2,0,0,1,2,0,12,0,26.37,3.23,4.26,17.01,3.14,6.02,6.57,59.091,51.61,27.86,0,0,185.996,0,62.84,9,0,1,1,0,2.07E-06,3.30E-07,3.60E-07,0.00271396,1.299232737,1.283887468,12.97681056,1.876948339,0.452647844,0.07377774,0.112203646
4,YES,acet,GBL,1,4,0,0,0,172.93,39.44,212.36,139.66,72.7,110.9,2,2,6.58,2.32,10,0,0,0,4,0,4,1,1,0,2,0,0,1,2,0,12,0,26.37,3.23,4.26,17.01,3.14,6.02,6.57,59.091,51.61,27.86,0,0,185.996,0,62.84,9,0,0,0,1,5.26E-06,2.82E-07,3.16E-07,0.004050082,1980,0.596766744,8.147847854,5.042906073,1.270497669,0.215708635,0.323562952
4,YES,acet,GBL:DMF,1,4,0,0,0,172.93,39.44,212.36,139.66,72.7,110.9,2,2,6.58,2.32,10,0,0,0,4,0,4,1,1,0,2,0,0,1,2,0,12,0,26.37,3.23,4.26,17.01,3.14,6.02,6.57,59.091,51.61,27.86,0,0,185.996,0,62.84,9,0,1,0,1,1.08E-06,1.56E-07,1.11E-07,0.001192873,11700,0.600995025,7.857412384,5.206428266,1.319686825,0.228541309,0.354014969
1,NO,aep,DMSO,0,8,1,0,0,258.43,22.98,281.41,226.65,54.76,235.46,6,2,14.6,2.06,24,0,0,0,3,1,4,0,2,1,0,0,2,0,2,1,135,5,44.29,5.03,6.39,25.85,3.23,10.25,13.98,116.207,32.08,57.79,5,2,370.017,5,131.49,67,5,0,1,0,1.24E-05,2.78E-07,4.24E-07,0.001801609,1.336206897,1.331896552,9.375445531,4.25084116,1.062587481,0.194841789,0.248964508
