Amine,Amine,Amine MW,Halide,Halide MW,Solvent,Initial PbI (mmol),Initial Amine (mmol),"Solvent added
 to fully dissolve (ml)",Final volume (ml),Max PbI [M],Max Amine [M],ESC_Run
Methylammonium Iodide,ma,158.97,PbI2,461.01,GBL,0.5811154,0.7693275,0.3,0.4,1.45,1.92,https://drive.google.com/drive/folders/1kT4D9wra1xCE6sipFmSOwtMM3DcM9Y8t?usp=sharing
Methylammonium Iodide,ma,158.97,PbI2,461.01,DMF,0.5212468,0.8032962,0.2,0.33,1.58,2.43,https://drive.google.com/drive/folders/1kT4D9wra1xCE6sipFmSOwtMM3DcM9Y8t?usp=sharing
Methylammonium Iodide,ma,158.97,PbI2,461.01,DMSO,0.5043275,0.8070705,0.15,0.35,1.44,2.31,https://drive.google.com/drive/folders/1kT4D9wra1xCE6sipFmSOwtMM3DcM9Y8t?usp=sharing
Methylammonium Iodide,ma,158.97,PbI2,461.01,DMF:DMSO,0.5314418,0.7888281,0.1,0.33,2.21,3.29,https://drive.google.com/drive/folders/1kT4D9wra1xCE6sipFmSOwtMM3DcM9Y8t?usp=sharing
Methylammonium Iodide,ma,158.97,PbI2,461.01,GBL:DMF,0.5162578,0.7341008,0.15,0.25,2.07,2.94,https://drive.google.com/drive/folders/1kT4D9wra1xCE6sipFmSOwtMM3DcM9Y8t?usp=sharing
Ethylammonium Iodide,ea,173.00,PbI2,461.01,GBL,0.5381662,0.817341,0.26,0.4,1.35,2.04,https://drive.google.com/drive/folders/1jvH5_KonO-zEmCWzfEjnTQfnenGhZNXj?usp=sharing
Ethylammonium Iodide,ea,173.00,PbI2,461.01,DMF,0.5403354,0.8138728,0.2,0.36,1.5,2.26,https://drive.google.com/drive/folders/1jvH5_KonO-zEmCWzfEjnTQfnenGhZNXj?usp=sharing
Ethylammonium Iodide,ea,173.00,PbI2,461.01,DMSO,0.4967354,0.7618497,0.2,0.3,1.66,2.54,https://drive.google.com/drive/folders/1jvH5_KonO-zEmCWzfEjnTQfnenGhZNXj?usp=sharing
Ethylammonium Iodide,ea,173.00,PbI2,461.01,DMF:DMSO,0.5544348,0.7578035,0.2,0.23,2.41,3.29,https://drive.google.com/drive/folders/1jvH5_KonO-zEmCWzfEjnTQfnenGhZNXj?usp=sharing
Ethylammonium Iodide,ea,173.00,PbI2,461.01,GBL:DMF,0.5314418,0.816763,0.2,0.3,1.77,2.72,https://drive.google.com/drive/folders/1jvH5_KonO-zEmCWzfEjnTQfnenGhZNXj?usp=sharing
