,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,1.977678571,0.6294642857,0.00036086309527777797,1.285714286
1,1.0,1.857142857,0.7098214286,,
2,2.0,1.767857143,0.7633928570999999,,
3,3.0,1.674107143,0.8169642856999999,,
4,4.0,1.598214286,0.8526785714,,
5,5.0,1.522321429,0.8883928570999999,,
6,6.0,1.441964286,0.9285714286,,
7,7.0,1.361607143,0.9598214286,,
8,8.0,1.308035714,0.9866071429000001,,
9,9.0,1.236607143,1.013392857,,
10,10.0,1.174107143,1.035714286,,
11,11.0,1.102678571,1.066964286,,
12,12.0,1.044642857,1.09375,,
13,13.0,0.9866071429000001,1.111607143,,
14,14.0,0.9330357143000001,1.138392857,,
15,15.0,0.8794642856999999,1.147321429,,
16,16.0,0.8125,1.165178571,,
17,17.0,0.7544642856999999,1.1875,,
18,18.0,0.6875,1.200892857,,
19,19.0,0.6339285714,1.223214286,,
20,20.0,0.5714285714,1.236607143,,
21,21.0,0.5178571429,1.254464286,,
22,22.0,0.45982142859999997,1.258928571,,
23,23.0,0.3928571429,1.276785714,,
24,24.0,0.35267857140000003,1.285714286,,
25,25.0,0.2991071429,1.299107143,,
