Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm),Time for Concentration (hours),FAH [M],Inorganic [M],Organic [M],Solvent [M],DCM [M]
0,1.928571429,0.59375,11.25,0.8803571429,0.0555555555555556,1.34763878371035,0.237958103149506,0.343208802619479,5.03932658512824,7.69237112109246
1,1.803571429,0.6607142857,NaN,NaN,0.111111111111111,1.34523177961255,0.237533088571187,0.342595800823828,5.03032589452246,7.70658318382131
2,1.736607143,0.7098214286,NaN,NaN,0.166666666666667,1.34311033543523,0.237158496478354,0.342055523766857,5.02239301950367,7.719109169029
3,1.674107143,0.7544642857,NaN,NaN,0.222222222222222,1.34119119377411,0.236819625769914,0.341566767937376,5.0152166294276,7.73044066684342
4,1.616071429,0.78125,NaN,NaN,0.277777777777778,1.33942833162947,0.236508349976192,0.341117812465661,5.00862462704629,7.74084941828875
5,1.558035714,0.8169642857,NaN,NaN,0.333333333333333,1.33779264189556,0.236219529536229,0.340701244523406,5.00250816998023,7.75050728514679
6,1.5,0.84375,NaN,NaN,0.388888888888889,1.33626395820915,0.235949603592621,0.340311928258588,4.99679184863781,7.75953333893032
7,1.450892857,0.8705357143,NaN,NaN,0.444444444444444,1.33427436463182,0.235598292900601,0.339805230145097,4.98935201243763,7.77128081736285
8,1.397321429,0.9017857143,NaN,NaN,0.5,1.33205676685415,0.235206722572482,0.339240465248771,4.98105958306321,7.78437453779004
9,1.357142857,0.9196428571,NaN,NaN,0.555555555555556,1.33004436361987,0.23485138428585,0.338727958104591,4.97353445300529,7.79625669496108
10,1.303571429,0.9553571429,NaN,NaN,0.611111111111111,1.32820708272117,0.234526968067728,0.338260050097684,4.96666417100609,7.80710484906546
11,1.267857143,0.9732142857,NaN,NaN,0.666666666666667,1.32652084612452,0.234229222361052,0.337830609174594,4.96035870027238,7.81706116792223
11.25,1.258928571,0.9821428571,NaN,NaN,0.722222222222222,1.32496607189937,0.233954689504091,0.337434648323208,4.95454481662536,7.82624127228406
12,1.214285714,1.004464286,NaN,NaN,0.777777777777778,1.32352662207237,0.233700519948754,0.337068057618395,4.94916217413332,7.83474044819116
13,1.169642857,1.013392857,NaN,NaN,0.833333333333333,1.32218904385088,0.233464338280308,0.336727410981213,4.94416046776161,7.84263812713818
