,Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm)
0,0.0,1.928571429,0.59375,11.25,0.8803571429000001
1,1.0,1.803571429,0.6607142857,,
2,2.0,1.736607143,0.7098214286,,
3,3.0,1.674107143,0.7544642856999999,,
4,4.0,1.616071429,0.78125,,
5,5.0,1.558035714,0.8169642856999999,,
6,6.0,1.5,0.84375,,
7,7.0,1.450892857,0.8705357143000001,,
8,8.0,1.397321429,0.9017857143000001,,
9,9.0,1.357142857,0.9196428570999999,,
10,10.0,1.303571429,0.9553571429000001,,
11,11.0,1.267857143,0.9732142856999999,,
12,11.25,1.258928571,0.9821428570999999,,
13,12.0,1.214285714,1.004464286,,
14,13.0,1.169642857,1.013392857,,
15,14.0,1.138392857,1.040178571,,
16,15.0,1.098214286,1.049107143,,
17,16.0,1.053571429,1.080357143,,
18,17.0,1.013392857,1.089285714,,
19,18.0,0.96875,1.111607143,,
20,19.0,0.9241071429000001,1.147321429,,
21,20.0,0.8839285714,1.15625,,
22,21.0,0.8348214286,1.183035714,,
23,22.0,0.7901785714,1.205357143,,
24,23.0,0.7544642856999999,1.21875,,
25,24.0,0.7142857143000001,1.236607143,,
26,25.0,0.6741071429000001,1.263392857,,
