Time for Height Build Up (hours),AS Height Experimental (cm),Solvent Height Experimental (cm),Crystallization Time (hours),Crystallization Height (cm),Time for Concentration (hours),FAH [M],Inorganic [M],Organic [M],Solvent [M],DCM [M]
0,2.250825083,0.6402640264,0.000379537953888889,1.353135314,0.0555555555555556,1.1867274110673,0.201485887124119,0.282080241973766,4.26647595220297,8.64246610592526
1,2.105610561,0.7458745875,NaN,NaN,0.111111111111111,1.16416067770384,0.197654444242774,0.276716221939883,4.18534491543995,8.77571051146674
2,2.00660066,0.8184818482,NaN,NaN,0.166666666666667,1.15531823606588,0.196153149858611,0.274614409802055,4.1535549152636,8.82792036659324
3,1.907590759,0.8712871287,NaN,NaN,0.222222222222222,1.14804927323104,0.194919005090746,0.272886607127045,4.12742182451075,8.87083967689979
4,1.808580858,0.904290429,NaN,NaN,0.277777777777778,1.13878744113343,0.193346505425552,0.270685107595773,4.09412404816444,8.92552580679699
5,1.742574257,0.9504950495,NaN,NaN,0.333333333333333,1.13317313212431,0.192393292395548,0.269350609353767,4.07393970410001,8.95867527749789
6,1.663366337,0.9834983498,NaN,NaN,0.388888888888889,1.12910135268384,0.191701974334563,0.268382764068389,4.05930100198239,8.98271694193831
7,1.570957096,1.02970297,NaN,NaN,0.444444444444444,1.12590896920105,0.191159962570049,0.267623947598068,4.04782386980147,9.00156624691188
8,1.511551155,1.056105611,NaN,NaN,0.5,1.12330023925037,0.19071704512879,0.267003863180307,4.03844506596111,9.01696939214778
9,1.458745875,1.075907591,NaN,NaN,0.555555555555556,1.12111237054787,0.190345582683141,0.266483815756398,4.03057932601212,9.02988757839884
10,1.366336634,1.102310231,NaN,NaN,0.611111111111111,1.1173490684673,0.189706638768012,0.265589294275216,4.01704964962825,9.05210785018217
11,1.287128713,1.135313531,NaN,NaN,0.666666666666667,1.11442674582955,0.189210478686397,0.264894670160955,4.00654342963007,9.06936259132683
12,1.227722772,1.148514851,NaN,NaN,0.722222222222222,1.11046341801779,0.188537573845177,0.263952603383247,3.99229462856433,9.09276390731431
13,1.168316832,1.168316832,NaN,NaN,0.777777777777778,1.10707166940043,0.187961713312507,0.263146398637509,3.98010074665267,9.1127903560248
14,1.115511551,1.194719472,NaN,NaN,0.833333333333333,1.10408183948978,0.187454091657964,0.262435728321149,3.96935182714848,9.13044369125495
15,1.056105611,1.207920792,NaN,NaN,0.888888888888889,1.101414260079,0.187001182591364,0.261801655627909,3.95976145003194,9.14619431085501
16,1.00330033,1.227722772,NaN,NaN,0.944444444444444,1.09901918839639,0.186594540646299,0.261232356904819,3.95115078203659,9.16033591909929
17,0.9438943894,1.247524752,NaN,NaN,1,1.0968593406171,0.186227835671084,0.260718969939518,3.94338578181428,9.17308865689152
18,0.897689769,1.267326733,NaN,NaN,1.05555555555556,1.09490428080683,0.185895900167969,0.260254260235157,3.93635702728495,9.18463223203027
19,0.8316831683,1.280528053,NaN,NaN,1.11111111111111,1.09312832205325,0.185594372941393,0.25983212211795,3.92997216986648,9.19511831189729
