Reaction ID,Solvent,Amine,Expected Diffusion Coefficient,"Best Kin, Expected Diffusion Coeff, Mols/sec","Best Kout, Expected Diffusion Coeff, Mols/sec","Best Fit SSE, Expected Diffusion Coeff",Crystallization Data?,"Crystallization Time, Seconds","Crystallization Height, cm","Expected DCM Concentration, Mols/L",DCM Concentration Uncertainty Range,"Expected Solvent Concentration, Mols/L",Solvent Concentration Uncertainty Range,"Expected FAH Concentration, Mols/L",FAH Concentration Uncertainty Range,"Expected Inorganic Concentration, Mols/L",Inorganic Concentration Uncertainty Range,"Expected Organic Concentration, Mols/L",Organic Concentration Uncertainty Range
MA 333 1,DMF,aep,5.55E-06,4.43E-07,4.91E-07,0.004254117,Yes,4500,0.698564593,8.777488113,"[14.0352,8.762]",4.24774449,"[4.2573,0.99782]",1.163859617,"[1.1665,0.2734]",0.237123995,"[0.23766,0.055702]",0.280596728,"[0.28123,0.065914]"
MA 333 2,DMSO,aep,1.24E-05,2.78E-07,4.24E-07,0.001801609,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.336206897,1.331896552,9.375445531,"[9.6282,9.2232]",4.25084116,"[4.354,4.0796]",1.062587481,"[1.0884,1.0198]",0.194841789,"[0.19957,0.18699]",0.248964508,"[0.255,0.23893]"
MA 333 3,DMF:DMSO,aep,2.07E-06,4.03E-07,4.46E-07,0.001937984,Yes,42960,0.95483871,11.01630811,"[11.9732,10.4055]",3.044163276,"[3.4455,2.4154]",0.78468532,"[0.88813,0.62262]",0.138555103,"[0.15682,0.10994]",0.1758584,"[0.19904,0.13954]"
MA 333 4,GBL:DMF,aep,1.08E-06,5.00E-07,4.61E-07,0.006534908,Yes,3740,0.650901804,8.881591674,"[11.8261,8.5184]",4.277007327,"[4.5065,2.4162]",1.146228278,"[1.2077,0.64753]",0.190717635,"[0.20095,0.10774]",0.256884977,"[0.27067,0.14512]"
MA 336 4,GBL,chma,5.26E-06,3.53E-07,4.73E-07,0.001641298,Yes,300,0.486956522,7.590674351,"[7.9208,5.8822]",5.06456,"[6.1383,4.8571]",1.3648625,"[1.6542,1.309]",0.227095556,"[0.27524,0.21779]",0.356864445,"[0.43252,0.34225]"
MA 336 5,DMF,chma,5.55E-06,7.11E-07,9.17E-07,0.001465005,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.333333333,1.287581699,11.13718417,"[15.6453,9.7376]",2.846028911,"[3.7288,0.0026339]",0.764213331,"[1.0013,0.00070726]",0.129750269,"[0.17,0.00012008]",0.189435393,"[0.24819,0.00017532]"
MA 336 6,DMSO,chma,1.24E-05,2.12E-07,2.97E-07,0.000934926,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.330143541,1.306220096,9.585421345,"[9.9093,9.4142]",4.148350919,"[4.2655,3.9268]",1.027025251,"[1.056,0.97217]",0.177858633,"[0.18288,0.16836]",0.254581965,"[0.26177,0.24098]"
MA 336 7,DMF:DMSO,chma,2.07E-06,7.40E-07,8.18E-07,0.008491416,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.344497608,1.325358852,13.31756375,"[14.292,12.513]",1.530364436,"[2.0584,0.89088]",0.394936704,"[0.53121,0.22991]",0.072417731,"[0.097405,0.042157]",0.097898043,"[0.13168,0.05699]"
MA 336 8,GBL:DMF,chma,1.08E-06,5.61E-07,5.43E-07,0.003334623,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.320754717,1.295597484,14.90374766,"[15.6443,13.6485]",0.472375946,"[1.2675,0.0032598]",0.126295111,"[0.33889,0.00087155]",0.020156172,"[0.054085,0.0001391]",0.031306394,"[0.084005,0.00021604]"
MA 350 1,GBL,acet,5.26E-06,2.82E-07,3.16E-07,0.004050082,Yes,1980,0.596766744,8.147847854,"[8.3825,8.0126]",5.042906073,"[5.1338,4.8852]",1.270497669,"[1.2934,1.2308]",0.215708635,"[0.2196,0.20896]",0.323562952,"[0.32939,0.31344]"
MA 350 2,DMF,acet,5.55E-06,4.53E-07,5.75E-07,0.000995382,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.331730769,1.302884615,11.1398456,"[15.6454,9.7522]",3.01427441,"[3.9418,0.0026896]",0.763762582,"[0.99878,0.00068149]",0.134860689,"[0.17636,0.00012033]",0.197104084,"[0.25775,0.00017587]"
MA 350 3,DMSO,acet,1.24E-05,2.36E-07,3.69E-07,0.002451278,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.299107143,1.285714286,9.168136345,"[9.4423,9.0405]",4.701741444,"[4.7943,4.5029]",1.097698081,"[1.1193,1.0513]",0.186370239,"[0.19004,0.17849]",0.290737573,"[0.29646,0.27844]"
MA 350 4,DMF:DMSO,acet,2.07E-06,3.30E-07,3.60E-07,0.00271396,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.299232737,1.283887468,12.97681056,"[14.0252,12.1378]",1.876948339,"[2.4662,1.1407]",0.452647844,"[0.59475,0.27509]",0.07377774,"[0.096939,0.044837]",0.112203646,"[0.14743,0.06819]"
MA 350 5,GBL:DMF,acet,1.08E-06,1.56E-07,1.11E-07,0.001192873,Yes,11700,0.600995025,7.857412384,"[9.1397,7.7485]",5.206428266,"[5.2792,4.3496]",1.319686825,"[1.3381,1.1025]",0.228541309,"[0.23174,0.19093]",0.354014969,"[0.35896,0.29576]"
MA 351 1,GBL,ea,5.26E-06,3.41E-07,4.50E-07,0.000932575,Yes,47880,0.951304348,9.487251328,"[13.5832,8.7486]",4.143108499,"[4.6397,1.3892]",1.043651664,"[1.1687,0.34994]",0.18073797,"[0.2024,0.060602]",0.265791132,"[0.29765,0.089121]"
MA 351 2,DMF,ea,5.55E-06,5.62E-07,7.30E-07,0.001899433,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.336448598,1.322429907,11.08168304,"[15.6457,9.7985]",3.059060878,"[3.9184,0.0024949]",0.773613194,"[0.99095,0.00063095]",0.136600052,"[0.17498,0.00011141]",0.197019306,"[0.25237,0.00016069]"
MA 351 3,DMSO,ea,1.24E-05,1.79E-07,2.45E-07,0.000623206,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.308035714,1.285714286,9.590047279,"[9.9093,9.3644]",4.40476291,"[4.5688,4.1727]",1.026241786,"[1.0645,0.97217]",0.177722954,"[0.18434,0.16836]",0.26484205,"[0.27471,0.25089]"
MA 351 4,DMF:DMSO,ea,2.07E-06,7.92E-07,9.17E-07,0.005393733,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.303609342,1.286624204,12.92248196,"[13.9983,12.0931]",1.906784412,"[2.4867,1.1546]",0.461849123,"[0.60232,0.27965]",0.079982312,"[0.10431,0.04843]",0.119189328,"[0.15544,0.07217]"
MA 385 2,GBL:DMF,ea,1.08E-06,6.55E-07,6.51E-07,0.004080028,"None, Crystallization Concentration Profile Taken at End of Exp, Top of Column",1.348066298,1.314917127,14.7889056,"[15.6446,13.4858]",0.57583236,"[1.4478,0.0032243]",0.14574516,"[0.36644,0.00081608]",0.027219521,"[0.068436,0.00015241]",0.037117529,"[0.093322,0.00020783]"
MA 354 1,GBL,ma,5.26E-06,2.84E-07,3.47E-07,0.002834665,Yes,15420,0.690163934,8.402139959,"[9.6811,8.3612]",4.935148912,"[4.963,4.0642]",1.227429878,"[1.2344,1.0108]",0.216732324,"[0.21796,0.17848]",0.312594698,"[0.31436,0.25743]"
MA 354 2,DMF,ma,5.55E-06,3.52E-07,4.26E-07,0.000718352,Yes,60380,1.249448124,11.31681991,"[15.6449,9.9063]",2.948271546,"[3.9081,0.0030773]",0.733789601,"[0.97268,0.0007659]",0.124584844,"[0.16515,0.00013004]",0.184385568,"[0.24441,0.00019246]"
