,name,_rxn_M_inorganic,_feat_organic_0_donsitecount_std,_feat_organic_0_carboringcount_std,_feat_organic_0_molpol_std,_rxn_mixingtime2_s,_feat_organic_0_aromaticatomcount_std,_feat_organic_0_asa-_std,_feat_organic_0_fr_amidine,_rxn_stirrate_rpm,_feat_organic_0_fr_nh1,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_carboaromaticringcount_std,_feat_organic_0_largestringsize_std,_rxn_M_acid,_feat_organic_0_chainatomcount_std,_feat_organic_0_fr_nh2,_rxn_M_organic,_feat_organic_0_atomcount_c_std,_feat_organic_0_ringatomcount_std,_feat_organic_0_fr_quatn,_feat_organic_0_heteroaliphaticringcount_std,_feat_organic_0_atomcount_n_std,_rxn_reactiontime_s,_feat_organic_0_bondcount_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_asa+_std,_feat_organic_0_carboaliphaticringcount_std,_feat_organic_0_avgpol_std,_feat_organic_0_refractivity_std,_feat_organic_0_aromaticringcount_std,_feat_organic_0_asa_std,_feat_organic_0_vanderwaalsvolume_std,_feat_organic_0_accsitecount_std,_feat_organic_0_smallestringsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_aliphaticatomcount_std,_feat_organic_0_aliphaticringcount_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_cyclomaticnumber_std,_out_crystalscore
10362,2020-06-22T14_21_59.590476+00_00_HC_A1,0.08874063147504463,3.0,1.0,14.37,1200.0,0.0,52.34,0.0,500.0,0.0,1.0,0.0,6.0,0.5300890723441234,2.0,0.0,0.13980962471527505,7.0,6.0,1.0,0.0,1.0,57600.0,24.0,4.78,213.57,1.0,14.74,46.96,0.0,265.92,133.35,0.0,6.0,28.32,8.0,1.0,3.7,1.0,4.0
10363,2020-06-22T14_21_59.590476+00_00_HC_C1,0.09962327561808457,3.0,1.0,14.37,1200.0,0.0,52.34,0.0,500.0,0.0,1.0,0.0,6.0,0.5300890723441234,2.0,0.0,0.14456597041036676,7.0,6.0,1.0,0.0,1.0,57600.0,24.0,4.78,213.57,1.0,14.74,46.96,0.0,265.92,133.35,0.0,6.0,28.32,8.0,1.0,3.7,1.0,1.0
10364,2020-06-22T14_21_59.590476+00_00_HC_E1,0.0923069298808962,3.0,1.0,14.37,1200.0,0.0,52.34,0.0,500.0,0.0,1.0,0.0,6.0,0.5300890723441234,2.0,0.0,0.13279536333854575,7.0,6.0,1.0,0.0,1.0,57600.0,24.0,4.78,213.57,1.0,14.74,46.96,0.0,265.92,133.35,0.0,6.0,28.32,8.0,1.0,3.7,1.0,1.0
10365,2020-06-22T14_21_59.590476+00_00_HC_G1,0.10113138636398918,3.0,1.0,14.37,1200.0,0.0,52.34,0.0,500.0,0.0,1.0,0.0,6.0,0.5300890723441234,2.0,0.0,0.13800309440811004,7.0,6.0,1.0,0.0,1.0,57600.0,24.0,4.78,213.57,1.0,14.74,46.96,0.0,265.92,133.35,0.0,6.0,28.32,8.0,1.0,3.7,1.0,1.0
10366,2020-06-22T14_21_59.590476+00_00_HC_A3,0.0894726596272938,3.0,1.0,14.37,1200.0,0.0,52.34,0.0,500.0,0.0,1.0,0.0,6.0,0.5300890723441234,2.0,0.0,0.1379633670576631,7.0,6.0,1.0,0.0,1.0,57600.0,24.0,4.78,213.57,1.0,14.74,46.96,0.0,265.92,133.35,0.0,6.0,28.32,8.0,1.0,3.7,1.0,1.0
10367,2020-06-22T17_03_40.423248+00_00_HC_A1,0.10918146754177242,4.0,0.0,13.98,1200.0,0.0,22.98,0.0,500.0,1.0,2.0,0.0,5.0,0.5300890723441234,3.0,0.0,0.12955219499443402,6.0,5.0,2.0,1.0,2.0,57600.0,24.0,5.03,258.43,0.0,14.6,57.79,0.0,281.41,131.49,0.0,5.0,25.85,8.0,1.0,3.23,1.0,4.0
10368,2020-06-22T17_03_40.423248+00_00_HC_C1,0.09942330604502186,4.0,0.0,13.98,1200.0,0.0,22.98,0.0,500.0,1.0,2.0,0.0,5.0,0.5300890723441234,3.0,0.0,0.126709852630709,6.0,5.0,2.0,1.0,2.0,57600.0,24.0,5.03,258.43,0.0,14.6,57.79,0.0,281.41,131.49,0.0,5.0,25.85,8.0,1.0,3.23,1.0,1.0
10369,2020-06-22T17_03_40.423248+00_00_HC_E1,0.09518855457458704,4.0,0.0,13.98,1200.0,0.0,22.98,0.0,500.0,1.0,2.0,0.0,5.0,0.5300890723441234,3.0,0.0,0.12051935461227135,6.0,5.0,2.0,1.0,2.0,57600.0,24.0,5.03,258.43,0.0,14.6,57.79,0.0,281.41,131.49,0.0,5.0,25.85,8.0,1.0,3.23,1.0,4.0
10370,2020-06-22T17_03_40.423248+00_00_HC_G1,0.08842502839273132,4.0,0.0,13.98,1200.0,0.0,22.98,0.0,500.0,1.0,2.0,0.0,5.0,0.5300890723441234,3.0,0.0,0.12080032583796495,6.0,5.0,2.0,1.0,2.0,57600.0,24.0,5.03,258.43,0.0,14.6,57.79,0.0,281.41,131.49,0.0,5.0,25.85,8.0,1.0,3.23,1.0,4.0
10371,2020-06-26T13_48_04.144007+00_00_HC_A1,0.09502799069589128,3.0,0.0,5.88,1200.0,0.0,61.53,0.0,500.0,0.0,0.0,0.0,0.0,0.5300890723441235,3.0,0.0,0.1389865118205955,2.0,0.0,1.0,0.0,1.0,57600.0,10.0,3.3,154.04,0.0,6.09,25.96,0.0,215.57,59.49,0.0,0.0,17.09,3.0,0.0,2.59,0.0,4.0
10372,2020-06-26T13_48_04.144007+00_00_HC_C1,0.09678825843274473,3.0,0.0,5.88,1200.0,0.0,61.53,0.0,500.0,0.0,0.0,0.0,0.0,0.5300890723441235,3.0,0.0,0.138880606998914,2.0,0.0,1.0,0.0,1.0,57600.0,10.0,3.3,154.04,0.0,6.09,25.96,0.0,215.57,59.49,0.0,0.0,17.09,3.0,0.0,2.59,0.0,1.0
10373,2020-06-26T13_48_04.144007+00_00_HC_E1,0.09383779738476047,3.0,0.0,5.88,1200.0,0.0,61.53,0.0,500.0,0.0,0.0,0.0,0.0,0.5300890723441235,3.0,0.0,0.13977016013255186,2.0,0.0,1.0,0.0,1.0,57600.0,10.0,3.3,154.04,0.0,6.09,25.96,0.0,215.57,59.49,0.0,0.0,17.09,3.0,0.0,2.59,0.0,1.0
10374,2020-06-26T13_48_04.144007+00_00_HC_G1,0.0928275502341135,3.0,0.0,5.88,1200.0,0.0,61.53,0.0,500.0,0.0,0.0,0.0,0.0,0.5300890723441235,3.0,0.0,0.1384290206417253,2.0,0.0,1.0,0.0,1.0,57600.0,10.0,3.3,154.04,0.0,6.09,25.96,0.0,215.57,59.49,0.0,0.0,17.09,3.0,0.0,2.59,0.0,1.0
10375,2020-06-26T13_48_04.144007+00_00_HC_A3,0.10025722206482196,3.0,0.0,5.88,1200.0,0.0,61.53,0.0,500.0,0.0,0.0,0.0,0.0,0.5300890723441235,3.0,0.0,0.13658446310688524,2.0,0.0,1.0,0.0,1.0,57600.0,10.0,3.3,154.04,0.0,6.09,25.96,0.0,215.57,59.49,0.0,0.0,17.09,3.0,0.0,2.59,0.0,1.0
10376,2020-06-26T15_05_30.850680+00_00_HC_A1,0.09678695236212316,3.0,0.0,4.04,1200.0,0.0,54.52,0.0,500.0,0.0,0.0,0.0,0.0,0.5300890723441235,2.0,0.0,0.13918033157187748,1.0,0.0,1.0,0.0,1.0,57600.0,7.0,2.67,136.92,0.0,4.23,21.21,0.0,191.44,42.58,0.0,0.0,13.88,2.0,0.0,2.33,0.0,4.0
10377,2020-06-26T15_05_30.850680+00_00_HC_C1,0.09312530753430304,3.0,0.0,4.04,1200.0,0.0,54.52,0.0,500.0,0.0,0.0,0.0,0.0,0.5300890723441235,2.0,0.0,0.13594487198101718,1.0,0.0,1.0,0.0,1.0,57600.0,7.0,2.67,136.92,0.0,4.23,21.21,0.0,191.44,42.58,0.0,0.0,13.88,2.0,0.0,2.33,0.0,4.0
10378,2020-06-26T15_05_30.850680+00_00_HC_E1,0.09183539110374793,3.0,0.0,4.04,1200.0,0.0,54.52,0.0,500.0,0.0,0.0,0.0,0.0,0.5300890723441235,2.0,0.0,0.13963583407161687,1.0,0.0,1.0,0.0,1.0,57600.0,7.0,2.67,136.92,0.0,4.23,21.21,0.0,191.44,42.58,0.0,0.0,13.88,2.0,0.0,2.33,0.0,1.0
10379,2020-06-26T15_05_30.850680+00_00_HC_G1,0.09537930101290944,3.0,0.0,4.04,1200.0,0.0,54.52,0.0,500.0,0.0,0.0,0.0,0.0,0.5300890723441235,2.0,0.0,0.1329798908597939,1.0,0.0,1.0,0.0,1.0,57600.0,7.0,2.67,136.92,0.0,4.23,21.21,0.0,191.44,42.58,0.0,0.0,13.88,2.0,0.0,2.33,0.0,1.0
10380,2020-06-26T15_05_30.850680+00_00_HC_A3,0.09262620628360237,3.0,0.0,4.04,1200.0,0.0,54.52,0.0,500.0,0.0,0.0,0.0,0.0,0.5300890723441235,2.0,0.0,0.14350397328671555,1.0,0.0,1.0,0.0,1.0,57600.0,7.0,2.67,136.92,0.0,4.23,21.21,0.0,191.44,42.58,0.0,0.0,13.88,2.0,0.0,2.33,0.0,4.0
10381,2020-07-06T15_27_13.995342+00_00_HC_A1,0.08876573713328814,6.0,0.0,9.18,1200.0,0.0,43.22,0.0,500.0,0.0,2.0,0.0,0.0,0.5300890723441234,5.0,0.0,0.13382659540393116,3.0,0.0,2.0,0.0,2.0,57600.0,16.0,4.51,197.61,0.0,9.74,45.32,0.0,240.84,90.86,0.0,0.0,19.68,5.0,0.0,2.89,0.0,1.0
10382,2020-07-06T15_27_13.995342+00_00_HC_C1,0.09330560814508487,6.0,0.0,9.18,1200.0,0.0,43.22,0.0,500.0,0.0,2.0,0.0,0.0,0.5300890723441234,5.0,0.0,0.1348904859035734,3.0,0.0,2.0,0.0,2.0,57600.0,16.0,4.51,197.61,0.0,9.74,45.32,0.0,240.84,90.86,0.0,0.0,19.68,5.0,0.0,2.89,0.0,1.0
10383,2020-07-06T15_27_13.995342+00_00_HC_E1,0.08838365606280071,6.0,0.0,9.18,1200.0,0.0,43.22,0.0,500.0,0.0,2.0,0.0,0.0,0.5300890723441234,5.0,0.0,0.13265880475940325,3.0,0.0,2.0,0.0,2.0,57600.0,16.0,4.51,197.61,0.0,9.74,45.32,0.0,240.84,90.86,0.0,0.0,19.68,5.0,0.0,2.89,0.0,1.0
10384,2020-07-06T15_27_13.995342+00_00_HC_G1,0.08646624523117354,6.0,0.0,9.18,1200.0,0.0,43.22,0.0,500.0,0.0,2.0,0.0,0.0,0.5300890723441234,5.0,0.0,0.13396067454706131,3.0,0.0,2.0,0.0,2.0,57600.0,16.0,4.51,197.61,0.0,9.74,45.32,0.0,240.84,90.86,0.0,0.0,19.68,5.0,0.0,2.89,0.0,4.0
10385,2020-07-06T16_12_50.344926+00_00_HC_A1,0.09369784725103153,6.0,1.0,13.2,1200.0,6.0,0.0,0.0,500.0,0.0,0.0,1.0,6.0,0.5300890723441234,2.0,0.0,0.13303606316270794,6.0,6.0,2.0,0.0,2.0,57600.0,18.0,4.46,256.81,0.0,12.61,55.92,1.0,256.81,110.43,0.0,6.0,22.02,2.0,0.0,3.5,1.0,4.0
10386,2020-07-06T16_12_50.344926+00_00_HC_C1,0.10293739277948326,6.0,1.0,13.2,1200.0,6.0,0.0,0.0,500.0,0.0,0.0,1.0,6.0,0.5300890723441234,2.0,0.0,0.13113332611786166,6.0,6.0,2.0,0.0,2.0,57600.0,18.0,4.46,256.81,0.0,12.61,55.92,1.0,256.81,110.43,0.0,6.0,22.02,2.0,0.0,3.5,1.0,1.0
10387,2020-07-06T16_12_50.344926+00_00_HC_E1,0.09799969401380787,4.0,0.0,11.03,1200.0,0.0,46.05,0.0,500.0,1.0,2.0,0.0,0.0,0.5300890723441234,6.0,0.0,0.13987866581845002,4.0,0.0,2.0,0.0,2.0,57600.0,19.0,4.55,229.29,0.0,11.57,50.25,0.0,275.35,109.27,0.0,0.0,22.95,6.0,0.0,3.13,0.0,3.0
10388,2020-07-06T16_12_50.344926+00_00_HC_G1,0.09073087955684292,4.0,0.0,11.03,1200.0,0.0,46.05,0.0,500.0,1.0,2.0,0.0,0.0,0.5300890723441234,6.0,0.0,0.13679959047782625,4.0,0.0,2.0,0.0,2.0,57600.0,19.0,4.55,229.29,0.0,11.57,50.25,0.0,275.35,109.27,0.0,0.0,22.95,6.0,0.0,3.13,0.0,4.0
10389,2020-07-08T14_08_51.487577+00_00_HC_A1,0.0920415001315232,4.0,0.0,16.56,1200.0,0.0,73.58,0.0,500.0,1.0,5.0,0.0,0.0,0.5300890723441235,9.0,0.0,0.13908428893552766,7.0,0.0,2.0,0.0,2.0,57600.0,28.0,5.42,285.85,0.0,17.53,64.61,0.0,359.43,160.34,0.0,0.0,34.16,9.0,0.0,4.32,0.0,4.0
10390,2020-07-08T14_08_51.487577+00_00_HC_C1,0.09203559458508068,4.0,0.0,16.56,1200.0,0.0,73.58,0.0,500.0,1.0,5.0,0.0,0.0,0.5300890723441235,9.0,0.0,0.13051035780281775,7.0,0.0,2.0,0.0,2.0,57600.0,28.0,5.42,285.85,0.0,17.53,64.61,0.0,359.43,160.34,0.0,0.0,34.16,9.0,0.0,4.32,0.0,1.0
10391,2020-07-08T14_08_51.487577+00_00_HC_E1,0.09959217404778607,4.0,0.0,16.56,1200.0,0.0,73.58,0.0,500.0,1.0,5.0,0.0,0.0,0.5300890723441235,9.0,0.0,0.13523707852067698,7.0,0.0,2.0,0.0,2.0,57600.0,28.0,5.42,285.85,0.0,17.53,64.61,0.0,359.43,160.34,0.0,0.0,34.16,9.0,0.0,4.32,0.0,1.0
10392,2020-07-08T14_08_51.487577+00_00_HC_G1,0.09414238954995367,4.0,0.0,16.56,1200.0,0.0,73.58,0.0,500.0,1.0,5.0,0.0,0.0,0.5300890723441235,9.0,0.0,0.1312680087618274,7.0,0.0,2.0,0.0,2.0,57600.0,28.0,5.42,285.85,0.0,17.53,64.61,0.0,359.43,160.34,0.0,0.0,34.16,9.0,0.0,4.32,0.0,1.0
10393,2020-07-08T14_08_51.487577+00_00_HC_A3,0.09414238954995367,4.0,0.0,16.56,1200.0,0.0,73.58,0.0,500.0,1.0,5.0,0.0,0.0,0.5300890723441235,9.0,0.0,0.1312680087618274,7.0,0.0,2.0,0.0,2.0,57600.0,28.0,5.42,285.85,0.0,17.53,64.61,0.0,359.43,160.34,0.0,0.0,34.16,9.0,0.0,4.32,0.0,4.0
10394,2020-11-25T22_28_56.039621+00_00_HC_A1,0.09635349105354966,4.0,0.0,6.57,1200.0,0.0,39.44,1.0,500.0,0.0,0.0,0.0,0.0,0.5300890723441234,4.0,2.0,0.1441070722076671,2.0,0.0,0.0,0.0,2.0,57600.0,10.0,3.23,172.93,0.0,6.58,27.86,0.0,212.36,62.84,1.0,0.0,17.01,4.0,0.0,3.14,0.0,4.0
10395,2020-11-25T22_28_56.039621+00_00_HC_C1,0.09894457028779033,4.0,0.0,6.57,1200.0,0.0,39.44,1.0,500.0,0.0,0.0,0.0,0.0,0.5300890723441234,4.0,2.0,0.1468228292062319,2.0,0.0,0.0,0.0,2.0,57600.0,10.0,3.23,172.93,0.0,6.58,27.86,0.0,212.36,62.84,1.0,0.0,17.01,4.0,0.0,3.14,0.0,1.0
10396,2020-11-25T22_28_56.039621+00_00_HC_E1,0.09662685907565764,4.0,0.0,6.57,1200.0,0.0,39.44,1.0,500.0,0.0,0.0,0.0,0.0,0.5300890723441234,4.0,2.0,0.1493639559593371,2.0,0.0,0.0,0.0,2.0,57600.0,10.0,3.23,172.93,0.0,6.58,27.86,0.0,212.36,62.84,1.0,0.0,17.01,4.0,0.0,3.14,0.0,1.0
10397,2020-11-25T22_28_56.039621+00_00_HC_G1,0.09359623689401046,4.0,0.0,6.57,1200.0,0.0,39.44,1.0,500.0,0.0,0.0,0.0,0.0,0.5300890723441234,4.0,2.0,0.14106414252608165,2.0,0.0,0.0,0.0,2.0,57600.0,10.0,3.23,172.93,0.0,6.58,27.86,0.0,212.36,62.84,1.0,0.0,17.01,4.0,0.0,3.14,0.0,1.0
10398,2020-11-25T22_28_56.039621+00_00_HC_A3,0.09706463693289752,4.0,0.0,6.57,1200.0,0.0,39.44,1.0,500.0,0.0,0.0,0.0,0.0,0.5300890723441234,4.0,2.0,0.15124573118453388,2.0,0.0,0.0,0.0,2.0,57600.0,10.0,3.23,172.93,0.0,6.58,27.86,0.0,212.36,62.84,1.0,0.0,17.01,4.0,0.0,3.14,0.0,4.0
10399,2020-11-25T23_09_35.145018+00_00_HC_A1,0.0913144671643508,4.0,0.0,11.03,1200.0,0.0,46.05,0.0,500.0,1.0,2.0,0.0,0.0,0.5300890723441234,6.0,0.0,0.13154894772902398,4.0,0.0,2.0,0.0,2.0,57600.0,19.0,4.55,229.29,0.0,11.57,50.25,0.0,275.35,109.27,0.0,0.0,22.95,6.0,0.0,3.13,0.0,4.0
10400,2020-11-25T23_09_35.145018+00_00_HC_C1,0.0953888975229502,4.0,0.0,11.03,1200.0,0.0,46.05,0.0,500.0,1.0,2.0,0.0,0.0,0.5300890723441234,6.0,0.0,0.13279165012409722,4.0,0.0,2.0,0.0,2.0,57600.0,19.0,4.55,229.29,0.0,11.57,50.25,0.0,275.35,109.27,0.0,0.0,22.95,6.0,0.0,3.13,0.0,4.0
10401,2020-11-25T23_09_35.145018+00_00_HC_E1,0.0913020526623054,4.0,0.0,11.03,1200.0,0.0,46.05,0.0,500.0,1.0,2.0,0.0,0.0,0.5300890723441234,6.0,0.0,0.13228869604732466,4.0,0.0,2.0,0.0,2.0,57600.0,19.0,4.55,229.29,0.0,11.57,50.25,0.0,275.35,109.27,0.0,0.0,22.95,6.0,0.0,3.13,0.0,3.0
10402,2020-11-25T23_09_35.145018+00_00_HC_G1,0.09557589407057852,4.0,0.0,11.03,1200.0,0.0,46.05,0.0,500.0,1.0,2.0,0.0,0.0,0.5300890723441234,6.0,0.0,0.13425062530616572,4.0,0.0,2.0,0.0,2.0,57600.0,19.0,4.55,229.29,0.0,11.57,50.25,0.0,275.35,109.27,0.0,0.0,22.95,6.0,0.0,3.13,0.0,4.0
10403,2020-11-30T18_12_22.108199+00_00_HC_A1,0.09544744745604826,3.0,1.0,15.43,1200.0,6.0,86.4,0.0,500.0,0.0,2.0,1.0,6.0,0.5300890723441235,3.0,0.0,0.13765897111754316,8.0,6.0,1.0,0.0,1.0,57600.0,21.0,5.03,218.15,0.0,14.69,50.58,1.0,304.55,130.2,0.0,6.0,24.96,3.0,0.0,3.37,1.0,4.0
10404,2020-11-30T18_12_22.108199+00_00_HC_C1,0.09203180425944138,3.0,1.0,15.43,1200.0,6.0,86.4,0.0,500.0,0.0,2.0,1.0,6.0,0.5300890723441235,3.0,0.0,0.13758517009990007,8.0,6.0,1.0,0.0,1.0,57600.0,21.0,5.03,218.15,0.0,14.69,50.58,1.0,304.55,130.2,0.0,6.0,24.96,3.0,0.0,3.37,1.0,1.0
10405,2020-11-30T18_12_22.108199+00_00_HC_E1,0.09191696919592278,3.0,1.0,15.43,1200.0,6.0,86.4,0.0,500.0,0.0,2.0,1.0,6.0,0.5300890723441235,3.0,0.0,0.1370367607018333,8.0,6.0,1.0,0.0,1.0,57600.0,21.0,5.03,218.15,0.0,14.69,50.58,1.0,304.55,130.2,0.0,6.0,24.96,3.0,0.0,3.37,1.0,1.0
10406,2020-11-30T18_12_22.108199+00_00_HC_G1,0.09316696548847568,3.0,1.0,15.43,1200.0,6.0,86.4,0.0,500.0,0.0,2.0,1.0,6.0,0.5300890723441235,3.0,0.0,0.13705524354909546,8.0,6.0,1.0,0.0,1.0,57600.0,21.0,5.03,218.15,0.0,14.69,50.58,1.0,304.55,130.2,0.0,6.0,24.96,3.0,0.0,3.37,1.0,1.0
10407,2020-11-30T18_12_22.108199+00_00_HC_A3,0.0919634844642041,3.0,1.0,15.43,1200.0,6.0,86.4,0.0,500.0,0.0,2.0,1.0,6.0,0.5300890723441235,3.0,0.0,0.1371265862467289,8.0,6.0,1.0,0.0,1.0,57600.0,21.0,5.03,218.15,0.0,14.69,50.58,1.0,304.55,130.2,0.0,6.0,24.96,3.0,0.0,3.37,1.0,1.0
